timestamp,interface,raw_tc_output
1776014854.7226493,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 612 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 612 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.7352288,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.7472804,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.759877,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.772835,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.7850277,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.7991621,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.811129,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.8238797,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.835747,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.848198,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.8602412,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.872607,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.8849006,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.896759,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.9085798,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.920919,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 418 bytes 5 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.933608,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 418 bytes 5 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776014854.9462886,s1-eth3,"qdisc pfifo 8006: root refcnt 7 limit 60p |  Sent 418 bytes 5 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
