timestamp,interface,raw_tc_output
1776299193.4135175,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 792 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 792 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.4259865,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.4387197,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.4516613,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.4642184,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 148 bytes 2 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.4779744,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 359 bytes 3 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.4902408,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 359 bytes 3 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.503103,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.5159674,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.5284977,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.5404582,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.5525901,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.5643358,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.5763788,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.5881052,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.600317,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.612404,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.624818,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.6365008,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.6483471,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.6610188,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.6725981,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.6856658,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.697591,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.710411,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 466 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.723646,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 837 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.7355287,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 837 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.7473395,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.7597296,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.7713375,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.783458,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.7960656,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.8081553,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.8202887,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.8325903,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.8450737,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.8583493,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.8708584,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.88307,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.8957117,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.9080632,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.9205868,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.9326363,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.9454267,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.9570541,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.9689095,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 947 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.9807765,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1158 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299193.994591,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1158 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.006898,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1158 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.0190284,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1248 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.031576,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.0436466,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.0562804,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.0697832,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.081923,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.0937438,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.1056914,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.1187358,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.1309204,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.14382,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.1564286,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.1680548,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1408 bytes 12 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.1800709,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.1918035,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.2036989,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.215689,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.2277336,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.239621,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.2520428,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.2642574,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.2770548,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.2891262,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3016565,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3146977,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3270922,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3390028,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1607 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3510919,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1697 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3628669,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1697 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3753161,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1697 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.387291,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1697 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.3995318,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1697 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.4118419,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1697 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.4241598,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1787 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.4362094,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1787 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.4480793,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1787 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.460264,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1787 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.4738195,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1787 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.4861965,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1787 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.4979763,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1787 bytes 15 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.511151,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1894 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.5237412,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1894 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.5363126,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1894 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.5486248,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1894 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1776299194.5606594,s1-eth3,"qdisc pfifo 8002: root refcnt 7 limit 100p |  Sent 1894 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
