timestamp,interface,raw_tc_output
1775919351.8244276,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 776 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 148b 2p requeues 0 | qdisc netem 10: parent 5:1 limit 20 delay 5ms |  Sent 776 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 148b 2p requeues 0"
1775919351.9276874,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.0304606,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.1333923,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.236743,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.339906,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.442022,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 410 bytes 5 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.5483284,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 728 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.650731,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 728 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.7538946,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 728 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.856757,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 1029 bytes 9 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775919352.9595687,s1-eth3,"qdisc pfifo 8001: root refcnt 7 limit 60p |  Sent 1139 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
