timestamp,interface,raw_tc_output
1775920261.020073,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 522 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 522 bytes 7 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.1220965,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.2255967,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 308 bytes 4 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.3289614,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 648 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.4322045,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1236 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.535727,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1236 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.6387055,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1627 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.743675,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1627 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.8462768,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1627 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920261.9496002,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1838 bytes 17 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920262.0532992,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 1838 bytes 17 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920262.1562583,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2037 bytes 18 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920262.2590616,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2037 bytes 18 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920262.3619452,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2037 bytes 18 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920262.4649155,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2144 bytes 19 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920262.5681047,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2144 bytes 19 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920262.6729448,s1-eth3,"qdisc pfifo 8004: root refcnt 7 limit 60p |  Sent 2144 bytes 19 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
