timestamp,interface,raw_tc_output
1775920230.269541,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 612 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 612 bytes 8 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920230.374132,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 760 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 760 bytes 10 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920230.4785392,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1010 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1010 bytes 13 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920230.5811527,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1117 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 160b 2p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1117 bytes 14 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 160b 2p requeues 0"
1775920230.6859283,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1277 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1277 bytes 16 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920230.7890005,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1488 bytes 17 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1488 bytes 17 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920230.894031,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1488 bytes 17 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1488 bytes 17 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920230.998039,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1859 bytes 20 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1859 bytes 20 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.1040494,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 1949 bytes 21 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 1949 bytes 21 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.2066302,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 2270 bytes 23 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 2270 bytes 23 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.310809,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 2360 bytes 24 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 2360 bytes 24 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.4146934,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 2559 bytes 25 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 2559 bytes 25 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.5179372,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 2559 bytes 25 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 2559 bytes 25 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.6221435,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 2666 bytes 26 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 2666 bytes 26 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.725468,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 2666 bytes 26 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 2666 bytes 26 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
1775920231.8277552,s1-eth3,"qdisc htb 5: root refcnt 7 r2q 10 default 0x1 direct_packets_stat 0 direct_qlen 1000 |  Sent 2756 bytes 27 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0 | qdisc netem 10: parent 5:1 limit 10 delay 5ms |  Sent 2756 bytes 27 pkt (dropped 0, overlimits 0 requeues 0)  |  backlog 0b 0p requeues 0"
